question_0,imageurl_0,question_id_0,question_1,imageurl_1,question_id_1,question_2,imageurl_2,question_id_2,question_3,imageurl_3,question_id_3,question_4,imageurl_4,question_id_4,question_5,imageurl_5,question_id_5,question_6,imageurl_6,question_id_6,question_7,imageurl_7,question_id_7
Is the person old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413765.jpg,14716998,Is the man old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2390743.jpg,18961402,Does this girl look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/1082.jpg,04189733,Does the red vehicle look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,191024063,Does the skier look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415046.jpg,0726638,Does this woman look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2386261.jpg,06861666,Does the mattress look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397563.jpg,17135465,Is the car old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2525.jpg,03423640
Does the bench look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2367706.jpg,19110016,Does the boy look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2400089.jpg,17429730,Is the man old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403289.jpg,04996848,Does the metal vehicle look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2399900.jpg,04482010,Is this an old man?,http://ugrad.cs.jhu.edu/~jgualla1/images/2390097.jpg,14599064,Does the bus look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2377551.jpg,06438110,Does the book look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2384623.jpg,18555165,Does he look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2390097.jpg,14599060
Does this girl look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/713107.jpg,06467510,Does the bench look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2372121.jpg,1743982,Is the man old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2367819.jpg,00239654,Does the blue bus look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405250.jpg,15741118,Is the girl old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401809.jpg,11192724,Is the skier old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415046.jpg,0726637,Is that girl old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2363853.jpg,1527540,Is the boy old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2340921.jpg,07744384
Does the polar bear look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2317229.jpg,18275304,Is the sink old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2333341.jpg,16629923,Is the man old?,http://ugrad.cs.jhu.edu/~jgualla1/images/150449.jpg,13654630,Does the adult man look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2409712.jpg,14641517,Is the woman old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2323777.jpg,16416190,Does the man look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/4206.jpg,11734144,Are the shoes old?,http://ugrad.cs.jhu.edu/~jgualla1/images/150391.jpg,011474,Is the elephant old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2368765.jpg,17102156
Does the small person look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/713064.jpg,10991111,Does the man look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2341100.jpg,09157417,Does the woman look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2390229.jpg,15600027,Is this an old television?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397154.jpg,13460209,Is this an old oven?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403994.jpg,06498946,Is the man old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2389102.jpg,1833821,Is this an old man?,http://ugrad.cs.jhu.edu/~jgualla1/images/2319398.jpg,12865338,Does the boy seem to be old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2383350.jpg,09892626
Does the train that looks black look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2378614.jpg,13660445,Is this an old train?,http://ugrad.cs.jhu.edu/~jgualla1/images/2417245.jpg,00470629,Does the person next to the girl seem to be old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2411222.jpg,03236178,Is that an old man?,http://ugrad.cs.jhu.edu/~jgualla1/images/2399290.jpg,04499864,Is the ground old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393306.jpg,1180850,Is the zebra old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392896.jpg,0265163,Is the child old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374901.jpg,03341053,Is the car old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2329521.jpg,06492058
Does the train that looks black look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2378614.jpg,13660445,Is this an old train?,http://ugrad.cs.jhu.edu/~jgualla1/images/2417245.jpg,00470629,Does the person next to the girl seem to be old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2411222.jpg,03236178,Is that an old man?,http://ugrad.cs.jhu.edu/~jgualla1/images/2399290.jpg,04499864,Is the ground old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393306.jpg,1180850,Is the zebra old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392896.jpg,0265163,Is the child old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374901.jpg,03341053,Is the car old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2329521.jpg,06492058
Is this an old bus?,http://ugrad.cs.jhu.edu/~jgualla1/images/2365270.jpg,04109337,Does the boy look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2369245.jpg,07287045,Does the large device look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2337945.jpg,10877522,Does the device that looks black look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393923.jpg,08929053,Does this boy look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2404878.jpg,06792696,Is the man old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2399290.jpg,04499858,Does the window look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2380573.jpg,17626850,Does the gray elephant look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343698.jpg,09127066
Does the guy look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/713118.jpg,14470742,Is the woman old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2398883.jpg,00697047,Is this an old man?,http://ugrad.cs.jhu.edu/~jgualla1/images/2349483.jpg,13469837,Does the train at the station look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2399900.jpg,04482009,Is the lady old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392274.jpg,18976699,Is the polar bear old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2317229.jpg,18275303,Does the girl look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2411313.jpg,02584555,Is that an old truck?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,191024073
Does the yellow train look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2417245.jpg,00470616,Does that car look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2525.jpg,03423641,Does the boy in the ocean look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343034.jpg,09367837,Does he seem to be old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2348897.jpg,1051908,Is the boy old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2319887.jpg,04795826,Does the large elephant look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2377602.jpg,13396515,Does he look old?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393683.jpg,16806697,Is this an old bear?,http://ugrad.cs.jhu.edu/~jgualla1/images/2386043.jpg,1056621
