question_0,imageurl_0,question_id_0,question_1,imageurl_1,question_id_1,question_2,imageurl_2,question_id_2,question_3,imageurl_3,question_id_3,question_4,imageurl_4,question_id_4,question_5,imageurl_5,question_id_5,question_6,imageurl_6,question_id_6,question_7,imageurl_7,question_id_7
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415340.jpg,14823590,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2398164.jpg,041021130,Is it cloudy today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2321951.jpg,19637241,Does the gray sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2361923.jpg,16518778,Does that sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2381611.jpg,19359540,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2387636.jpg,00337655,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343691.jpg,09128595,Does the window look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408373.jpg,15770319
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2317765.jpg,13201668,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2414164.jpg,02886741,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393639.jpg,18554650,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2363905.jpg,04580090,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393625.jpg,14522434,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2400480.jpg,0643753,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2388919.jpg,18596037,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2357125.jpg,05631804
Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2416528.jpg,03445317,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408282.jpg,04842003,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/1012.jpg,18315859,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405728.jpg,11497859,Is it cloudy in the image?,http://ugrad.cs.jhu.edu/~jgualla1/images/2389122.jpg,06930409,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2335201.jpg,11190609,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2317358.jpg,13277584,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2389102.jpg,1833741
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2361923.jpg,16518777,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2775.jpg,11486820,Does the sky seem to be cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2375648.jpg,13726861,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2395794.jpg,05353378,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374595.jpg,03267523,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2410472.jpg,06991629,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391442.jpg,06596130,Does the gray sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2354478.jpg,141047367
Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2335201.jpg,11190639,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2368800.jpg,02760411,Is the weather cloudy today?,http://ugrad.cs.jhu.edu/~jgualla1/images/3238.jpg,11618976,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2361439.jpg,16929602,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/4343.jpg,09347053,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2404225.jpg,14616428,Does the blue sky seem to be cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2355385.jpg,11433393,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2385481.jpg,181020992
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2404793.jpg,01124228,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2410472.jpg,06991628,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2409764.jpg,10353680,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2335859.jpg,13829681,Is it cloudy today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2363000.jpg,19839533,Does that sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2389957.jpg,19505206,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2357882.jpg,01938775,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2389957.jpg,19505129
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391761.jpg,04956314,Is the weather cloudy today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2400845.jpg,00599582,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374997.jpg,17827914,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403768.jpg,16570453,Are the mountains cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2407152.jpg,12265936,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392114.jpg,00311847,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2354415.jpg,12390328,Is that sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2336754.jpg,1878715
Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2372217.jpg,10192969,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2356440.jpg,18587274,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2328066.jpg,04678805,Does the gray sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2367589.jpg,03770989,Does the gray sky seem to be cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2363488.jpg,11890349,Is the weather cloudy today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405819.jpg,18233205,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2400829.jpg,03986665,Does the sky that looks beautiful look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2390743.jpg,18961432
Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/1242.jpg,13839939,Is it cloudy in the photo?,http://ugrad.cs.jhu.edu/~jgualla1/images/1159902.jpg,03286897,Does that sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2394076.jpg,18767548,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2412027.jpg,17800924,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/4897.jpg,03520469,Does the sky seem to be cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2376358.jpg,18528883,Is the weather cloudy in this image?,http://ugrad.cs.jhu.edu/~jgualla1/images/2349263.jpg,01843079,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2410567.jpg,00511457
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2411372.jpg,10473062,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413159.jpg,14480292,Does the sky seem to be cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2387278.jpg,09752053,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343903.jpg,18890245,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2377608.jpg,1386304,Does the bright sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2386047.jpg,11799569,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2379754.jpg,02131675,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2395326.jpg,0231094
