question_0,imageurl_0,question_id_0,question_1,imageurl_1,question_id_1,question_2,imageurl_2,question_id_2,question_3,imageurl_3,question_id_3,question_4,imageurl_4,question_id_4,question_5,imageurl_5,question_id_5,question_6,imageurl_6,question_id_6,question_7,imageurl_7,question_id_7
Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397820.jpg,181001143,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2318421.jpg,07357281,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/4343.jpg,09347053,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2386811.jpg,19560807,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2365581.jpg,00244721,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391757.jpg,16160223,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2410472.jpg,06991628,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405227.jpg,10130708
Is the weather cloudy today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2318140.jpg,12642415,Does the window look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2354077.jpg,16581449,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/285993.jpg,12968922,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392303.jpg,02185059,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2352072.jpg,09245245,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/498259.jpg,16547556,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2380767.jpg,1016802,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2381612.jpg,16447753
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2368384.jpg,18991055,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2384391.jpg,01689349,Is it cloudy in the image?,http://ugrad.cs.jhu.edu/~jgualla1/images/2358716.jpg,18398033,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2373975.jpg,05898165,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2334489.jpg,11764598,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2395628.jpg,14496069,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2378273.jpg,04723931,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415053.jpg,0599153
Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2379118.jpg,01801741,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392331.jpg,18330251,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2346094.jpg,19609206,Does that sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413159.jpg,14480290,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2318284.jpg,14818274,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2412027.jpg,17800924,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2362708.jpg,19355356,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415053.jpg,0599152
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391761.jpg,04956314,Is the weather cloudy today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2400845.jpg,00599582,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374997.jpg,17827914,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403768.jpg,16570453,Are the mountains cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2407152.jpg,12265936,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392114.jpg,00311847,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2354415.jpg,12390328,Is that sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2336754.jpg,1878715
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2411372.jpg,10473062,Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413159.jpg,14480292,Does the sky seem to be cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2387278.jpg,09752053,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343903.jpg,18890245,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2377608.jpg,1386304,Does the bright sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2386047.jpg,11799569,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2379754.jpg,02131675,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2395326.jpg,0231094
Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2371719.jpg,13497745,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2380419.jpg,09608890,Is it cloudy in the picture?,http://ugrad.cs.jhu.edu/~jgualla1/images/713765.jpg,03477992,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2400393.jpg,18663913,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2379159.jpg,15545590,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2370621.jpg,10369085,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2388927.jpg,09321156,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2341449.jpg,01612972
Does the blue sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2318396.jpg,02996044,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2406656.jpg,07918931,Does the sky seem to be cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2338875.jpg,071059495,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2345600.jpg,15836253,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392303.jpg,02185059,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403831.jpg,04735942,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2347289.jpg,021003734,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2409316.jpg,03248796
Is it cloudy in the picture?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391721.jpg,02932769,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2336511.jpg,19548855,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413693.jpg,14727311,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391664.jpg,05710081,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2407151.jpg,12266575,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393639.jpg,18554586,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/1592228.jpg,13613683,Does the gray sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2404198.jpg,15281320
Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2409484.jpg,05386378,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2322031.jpg,10672663,Is it cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2396295.jpg,15993950,Is that sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413159.jpg,14480291,Is the weather cloudy today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397397.jpg,12879666,Is the weather cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2406339.jpg,11976402,Is the sky cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2377817.jpg,01281287,Does the sky look cloudy?,http://ugrad.cs.jhu.edu/~jgualla1/images/2381540.jpg,13772015
