question_0,imageurl_0,question_id_0,question_1,imageurl_1,question_id_1,question_2,imageurl_2,question_id_2,question_3,imageurl_3,question_id_3,question_4,imageurl_4,question_id_4,question_5,imageurl_5,question_id_5,question_6,imageurl_6,question_id_6,question_7,imageurl_7,question_id_7
Does the wood bench look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2372121.jpg,1743984,Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg,09947180,Does the red vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405831.jpg,0559974,Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401623.jpg,09784282,Is this a new car?,http://ugrad.cs.jhu.edu/~jgualla1/images/2385697.jpg,00816381,Does the tire look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2318283.jpg,14817339,Is the truck new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408760.jpg,10308198,Is the bench new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2355875.jpg,1791995
Is that a new truck?,http://ugrad.cs.jhu.edu/~jgualla1/images/2382779.jpg,00803804,Does the wood bench look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403830.jpg,04736251,Is this a new table?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401863.jpg,03353858,Does this train look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg,09947181,Does the car look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391114.jpg,08606488,Does the blue vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2361439.jpg,16929694,Is that truck new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392643.jpg,15989722,Does the red vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408760.jpg,10308201
Is the book new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2384623.jpg,18555167,Does the white bike look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2376775.jpg,06425095,Does the window look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2330986.jpg,08222024,Does that house look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2385589.jpg,01918963,Does the red vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,191024066,Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2379293.jpg,15323781,Does the truck look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374714.jpg,191024065,Is that window new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2330986.jpg,08222022
Is this a new train?,http://ugrad.cs.jhu.edu/~jgualla1/images/2417245.jpg,00470630,Does the tire look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2404484.jpg,0610846,Is this bench new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2382560.jpg,13741273,Is this a new oven?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413600.jpg,01856347,Do the shoes look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/150391.jpg,011473,Does the train look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2417245.jpg,00470619,Is the table new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401863.jpg,03353850,Is the bench new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2359592.jpg,15500365
Does this truck look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392643.jpg,15989723,Does the car look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2361439.jpg,16929692,Is the television new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2337945.jpg,10877523,Does the television look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2337945.jpg,10877524,Does the device that looks gray look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397154.jpg,13460202,Does the black train look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2378614.jpg,13660448,Does this table look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415204.jpg,13676718,Does the oven look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403994.jpg,06498937
Does the mattress that looks black look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397563.jpg,17135467,Is the bench new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2372121.jpg,1743983,Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2399900.jpg,04482011,Does the red vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2402625.jpg,17463031,Does the table look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401863.jpg,03353852,Is the car new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2402625.jpg,17463029,Is this a new bike?,http://ugrad.cs.jhu.edu/~jgualla1/images/2376775.jpg,06425106,Does the open book look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2356442.jpg,18447604
Does that train look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2417245.jpg,00470618,Does the wood table look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415204.jpg,13676719,Do the shoes look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/150391.jpg,011473,Is the fence new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2410256.jpg,09240045,Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2378614.jpg,13660447,Does the television look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397154.jpg,13460200,Does the car seem to be new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2329521.jpg,06492062,Does the bench look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2367706.jpg,19110019
Is the mobile phone new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2385859.jpg,01332256,Is the bench new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403830.jpg,04736250,Is the bench new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2367706.jpg,19110018,Does the large vase look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2365465.jpg,0030827,Does the house look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2394108.jpg,031054611,Is this a new bench?,http://ugrad.cs.jhu.edu/~jgualla1/images/2356670.jpg,196879,Is the shoe new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2336308.jpg,02485207,Is this car new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2337091.jpg,101030679
Does the oven look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403994.jpg,06498937,Does the small device look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393923.jpg,08929056,Is the truck new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2382779.jpg,00803792,Does the house look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2394108.jpg,031054611,Is the car new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2361439.jpg,16929691,Is the train new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2322704.jpg,09947180,Does the stove look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408373.jpg,15770167,Does the vintage vehicle look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2385697.jpg,00816376
Is this a new truck?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408760.jpg,10308212,Does the vehicle at the station look new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2399900.jpg,04482013,Is the table new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401863.jpg,03353850,Is that house new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2365882.jpg,03943073,Is the car new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2385697.jpg,00816374,Is the bus new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392114.jpg,00311988,Is that a new table?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415204.jpg,13676726,Is the bus new?,http://ugrad.cs.jhu.edu/~jgualla1/images/2377551.jpg,06438112
