question_0,imageurl_0,question_1,imageurl_1,question_2,imageurl_2,question_3,imageurl_3,question_4,imageurl_4,question_5,imageurl_5,question_6,imageurl_6,question_7,imageurl_7
Is the fridge new?,http://farm4.staticflickr.com/3809/9353258291_1f8ed4ce57_z.jpg,Is the train new?,http://farm9.staticflickr.com/8548/8704046688_3b331f7d73_z.jpg,Is this a brand new table?,http://farm4.staticflickr.com/3653/3595208370_f05ab05b3c_z.jpg,Is the surfboard brand new?,http://farm4.staticflickr.com/3099/3089093626_f42bfd3121_z.jpg,Is this a new picture?,http://farm3.staticflickr.com/2854/9178675656_d30c193ef7_z.jpg,Is this train new?,http://farm8.staticflickr.com/7284/8715829490_f4fdf26549_z.jpg,Is the car new?,http://farm4.staticflickr.com/3526/3956491289_5f293fda07_z.jpg,Are these appliances new?,http://farm5.staticflickr.com/4009/4580679120_65ba3d4447_z.jpg
Is that bear new?,http://farm2.staticflickr.com/1434/1406065975_558e9744b8_z.jpg,Are these new appliances?,http://farm1.staticflickr.com/62/194825282_40da412ff5_z.jpg,Is this a new truck?,http://farm8.staticflickr.com/7248/7449377950_d30deae858_z.jpg,Is this a new building?,http://farm9.staticflickr.com/8323/8134674673_d9489c39b9_z.jpg,Are the bikes new?,http://farm9.staticflickr.com/8093/8589552605_26bb25f1fe_z.jpg,Is the bridge new?,http://farm6.staticflickr.com/5349/9669142324_f34e7edc6e_z.jpg,Is the fridge new?,http://farm3.staticflickr.com/2655/4165026532_5b4fcafe59_z.jpg,Is this a new kitchen?,http://farm3.staticflickr.com/2376/2457659954_d63f8d0085_z.jpg
Is this a new bus?,http://farm1.staticflickr.com/145/424395110_80870cbcb5_z.jpg,Are the suitcases new?,http://farm5.staticflickr.com/4095/4747392864_8b7778374f_z.jpg,Are these refrigerators new?,http://farm5.staticflickr.com/4097/4952762722_315c92fc0c_z.jpg,Is this a new plane?,http://farm6.staticflickr.com/5007/5233014663_f36e205f8f_z.jpg,Is the computer new?,http://farm1.staticflickr.com/23/31433392_025a7e822e_z.jpg,Is this phone new?,http://farm1.staticflickr.com/161/383683272_755d981eb1_z.jpg,Is the car new?,http://farm4.staticflickr.com/3635/3390991080_3dc8d58c5c_z.jpg,Does the kitchen look new?,http://farm8.staticflickr.com/7424/9674284673_1f99e47555_z.jpg
Does the train appear to be new?,http://farm8.staticflickr.com/7321/8725940269_69ec18ff8b_z.jpg,Is this a new plane?,http://farm4.staticflickr.com/3205/2794229918_85b6bf2f6b_z.jpg,Is this a new blender?,http://farm2.staticflickr.com/1286/537535416_0a4f3045d4_z.jpg,Is the toothbrush new?,http://farm5.staticflickr.com/4009/4359461891_eed90f4419_z.jpg,Is that a new car?,http://farm9.staticflickr.com/8294/7492073938_1d85febe6c_z.jpg,Is the house new?,http://farm5.staticflickr.com/4154/5192962128_15df7b18b9_z.jpg,Is the door new?,http://farm5.staticflickr.com/4101/4864166560_9a7b0a7ddb_z.jpg,Is this stove brand new?,http://farm4.staticflickr.com/3769/9679977149_3f2859316e_z.jpg
Is this a new parking meter?,http://farm6.staticflickr.com/5135/5480554065_80b7828bf1_z.jpg,Is this a new truck?,http://farm8.staticflickr.com/7203/7111655341_c9ca6b4dfb_z.jpg,Is the bike new?,http://farm3.staticflickr.com/2724/4180618387_45c8b1ca9a_z.jpg,Is the sink and drawer area new in this picture?,http://farm8.staticflickr.com/7277/6881159188_cedb19b9b0_z.jpg,Is that a new iPod?,http://farm3.staticflickr.com/2625/4156717388_774a66bae1_z.jpg,Is the train new?,http://farm6.staticflickr.com/5466/10162794646_90900a5f9e_z.jpg,Is this a new train?,http://farm4.staticflickr.com/3821/8856843694_be0dcbc921_z.jpg,Is the device a new one?,http://farm7.staticflickr.com/6222/6344469423_e9247e5a59_z.jpg
Are the books new?,http://farm7.staticflickr.com/6064/6044052436_d1b7d408be_z.jpg,Is that a new phone?,http://farm4.staticflickr.com/3447/3273348836_8f1c0514d0_z.jpg,Is this new flooring?,http://farm9.staticflickr.com/8368/8488105156_da14f45650_z.jpg,Is this a new car?,http://farm8.staticflickr.com/7087/7288802058_84919e5827_z.jpg,Is the truck new?,http://farm8.staticflickr.com/7087/7288802058_84919e5827_z.jpg,Is the door new?,http://farm1.staticflickr.com/178/394695510_5ef137b855_z.jpg,Is this a new truck?,http://farm8.staticflickr.com/7395/9609008383_58b179fa96_z.jpg,Is the train new?,http://farm9.staticflickr.com/8239/8596952193_2cbec8d2d4_z.jpg
Is the laptop new?,http://farm4.staticflickr.com/3121/2823769497_7da1caf585_z.jpg,Is this new luggage?,http://farm3.staticflickr.com/2439/3910587051_bbf2745a09_z.jpg,Is this a new building?,http://farm8.staticflickr.com/7377/9223227512_3dff02b216_z.jpg,IS the computer new?,http://farm3.staticflickr.com/2404/1573852447_1fec97c784_z.jpg,Are those new appliances?,http://farm3.staticflickr.com/2808/8786926997_fdea4039c5_z.jpg,Is the bench new?,http://farm8.staticflickr.com/7354/10125586923_bc2b6af23b_z.jpg,Are these seats new?,http://farm1.staticflickr.com/151/339026651_b17b740f9e_z.jpg,Is this a new phone?,http://farm1.staticflickr.com/56/117103166_8527c1fcb8_z.jpg
Is the device a new one?,http://farm3.staticflickr.com/2671/3752762219_dd77ffe6b7_z.jpg,Is that a new phone?,http://farm1.staticflickr.com/182/425270652_d861c3796e_z.jpg,Are the buildings new?,http://farm1.staticflickr.com/191/459438121_6c20bfa385_z.jpg,Are those new phones?,http://farm4.staticflickr.com/3138/2593463773_e7c22ae194_z.jpg,Is that a new iPod?,http://farm4.staticflickr.com/3593/3324516323_11c5df0d38_z.jpg,Are the buildings new?,http://farm8.staticflickr.com/7276/7527556100_dbffed2cac_z.jpg,Is the vehicle new?,http://farm2.staticflickr.com/1080/978659759_706f5cdfdf_z.jpg,Is this a new neighborhood?,http://farm3.staticflickr.com/2493/3988619824_bb5e1e92d2_z.jpg
Is this car new?,http://farm8.staticflickr.com/7255/7496224340_2220598a32_z.jpg,Is the shoe new?,http://farm4.staticflickr.com/3133/2340422681_2e6a18fcaa_z.jpg,Is this kitchen new?,http://farm7.staticflickr.com/6207/6045642984_f6b074335a_z.jpg,Is this a new building?,http://farm9.staticflickr.com/8184/8128327397_f7c4b89318_z.jpg,Is this new luggage?,http://farm1.staticflickr.com/76/229890797_9debe8f68a_z.jpg,Is this a new oven?,http://farm2.staticflickr.com/1140/1204119132_6c76fdf064_z.jpg,Is this bus brand-new?,http://farm6.staticflickr.com/5347/10112633653_c0dc1f6281_z.jpg,Is this bus new?,http://farm6.staticflickr.com/5347/10112633653_c0dc1f6281_z.jpg
Is this a new toilet?,http://farm5.staticflickr.com/4090/5202621769_29aab16e56_z.jpg,Is this a new building?,http://farm5.staticflickr.com/4105/5413905411_a61567797e_z.jpg,Is this stove brand new?,http://farm9.staticflickr.com/8353/8297846622_ef0672f2dd_z.jpg,Is this bus brand-new?,http://farm9.staticflickr.com/8132/8858462748_af5255e6a4_z.jpg,Is this a new train engine?,http://farm9.staticflickr.com/8536/8701612564_f5b3b72af0_z.jpg,Is that a new device?,http://farm6.staticflickr.com/5142/5884743726_01bf5a266e_z.jpg,Is this phone new?,http://farm3.staticflickr.com/2365/1688868674_5a07204eea_z.jpg,Is this a new vehicle?,http://farm9.staticflickr.com/8102/8524093437_b658452ae7_z.jpg
