question_0,imageurl_0,question_id_0,question_1,imageurl_1,question_id_1,question_2,imageurl_2,question_id_2,question_3,imageurl_3,question_id_3,question_4,imageurl_4,question_id_4,question_5,imageurl_5,question_id_5,question_6,imageurl_6,question_id_6,question_7,imageurl_7,question_id_7
Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397439.jpg,18411209,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401710.jpg,10844410,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2416959.jpg,13103,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2360947.jpg,191042383,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405830.jpg,0560076,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2406204.jpg,121047182,Is the weather sunny today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2410986.jpg,16800838,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392742.jpg,08410024
Is the weather sunny in this image?,http://ugrad.cs.jhu.edu/~jgualla1/images/2410596.jpg,03826177,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405819.jpg,18233208,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2375100.jpg,02759819,Does the blue sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2381600.jpg,00367090,Does the blue sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2410304.jpg,08592044,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405983.jpg,01956514,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343718.jpg,10353248,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374552.jpg,181011055
Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2357229.jpg,02665095,Is the weather sunny in the image?,http://ugrad.cs.jhu.edu/~jgualla1/images/2332087.jpg,15899910,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2382808.jpg,18812880,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2379216.jpg,05799948,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2365726.jpg,03869797,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2375100.jpg,02759819,Does the bedroom look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2334728.jpg,081031112,Is it sunny today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2382828.jpg,05691538
Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2345474.jpg,03453952,Is it sunny today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2376615.jpg,14872335,Is the weather sunny in the photo?,http://ugrad.cs.jhu.edu/~jgualla1/images/2352781.jpg,12866929,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408312.jpg,0292507,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2371457.jpg,03974059,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/838.jpg,00428599,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2352072.jpg,09245247,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2369515.jpg,13677498
Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/1031.jpg,10438834,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2381481.jpg,031004100,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403189.jpg,06460515,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2376413.jpg,00620374,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413405.jpg,19234179,Is the window sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2356442.jpg,18447831,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2392114.jpg,00311849,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2344704.jpg,07539044
Does that sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2335922.jpg,10100495,Does the blue sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2340180.jpg,01276473,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2323816.jpg,15328213,Is it sunny today?,http://ugrad.cs.jhu.edu/~jgualla1/images/2411372.jpg,10472936,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2389541.jpg,11646643,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2317262.jpg,18997412,Is that sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2368683.jpg,06388856,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405830.jpg,0560076
Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2350568.jpg,0760507,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2374552.jpg,181011055,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2351709.jpg,18558347,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2364317.jpg,02544227,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343718.jpg,10353247,Does the sky seem to be sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2414164.jpg,02886745,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2387159.jpg,121017286,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2403045.jpg,05276636
Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2352072.jpg,09245247,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2402044.jpg,07650184,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2386811.jpg,19560776,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2380732.jpg,01354341,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2407828.jpg,17911911,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405006.jpg,07341210,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2406204.jpg,121047115,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2356440.jpg,18587278
Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2354301.jpg,04113935,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2413405.jpg,19234179,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2411488.jpg,18749483,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2324559.jpg,19259608,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2402044.jpg,07650184,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2411488.jpg,18749483,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2393365.jpg,09483705,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2349328.jpg,1366355
Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2382808.jpg,18813056,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405983.jpg,01956454,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2365726.jpg,03869797,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2396994.jpg,16608018,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2405983.jpg,01956515,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2411372.jpg,10472937,Is the bedroom sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2334728.jpg,081031111,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397439.jpg,18411210
Does the gray sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343718.jpg,10353249,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391023.jpg,02211605,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2408282.jpg,04842005,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2401364.jpg,19808978,Does the gray sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343718.jpg,10353249,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2354301.jpg,04113935,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2394134.jpg,16566056,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2323816.jpg,15328213
Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2377817.jpg,01281025,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2343874.jpg,18153372,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2391082.jpg,04844136,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2400768.jpg,0575634,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2402683.jpg,00211071,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2566.jpg,19642358,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2345474.jpg,03453952,Does the gray sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2326372.jpg,14140902
Does the sky that is gray look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2390130.jpg,061037677,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2322031.jpg,10672609,Is it sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2415340.jpg,14823221,Is the weather sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2397439.jpg,18411209,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2396304.jpg,16371834,Is the sky sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2320074.jpg,14163797,Is it sunny in the image?,http://ugrad.cs.jhu.edu/~jgualla1/images/3761.jpg,17999637,Does the sky look sunny?,http://ugrad.cs.jhu.edu/~jgualla1/images/2361038.jpg,07272424
